head,winner,loser
5,14,9
8,4,5
5,6,11
11,14,8
1,9,8
11,8,16
15,6,13
5,9,6
10,13,8
12,16,11
16,14,2
5,0,11
11,7,0
16,17,14
11,13,6
7,2,5
5,9,11
7,3,16
8,0,4
15,6,12
0,11,7
14,16,9
2,9,15
2,0,14
2,1,13
9,8,3
2,6,4
15,0,13
14,3,2
7,5,10
1,12,6
7,4,3
2,6,9
8,1,3
14,17,5
9,8,12
6,11,13
11,0,13
2,15,4
0,11,16
1,9,4
6,17,8
0,4,12
6,17,9
15,9,10
16,12,5
1,6,7
0,8,11
7,9,12
6,5,12
9,15,6
15,0,11
12,8,7
8,11,15
11,8,6
15,2,17
17,2,4
7,8,5
14,8,15
15,11,10
9,5,3
1,11,2
9,5,16
2,17,15
4,5,0
14,12,10
11,4,10
17,0,16
15,4,14
1,15,10
6,8,12
13,1,17
5,17,10
1,6,12
0,8,10
8,10,6
3,9,1
16,1,15
8,6,3
4,15,12
12,1,0
8,1,5
9,12,7
11,4,9
2,1,16
4,5,6
5,10,1
13,5,7
9,15,13
6,12,3
2,6,1
1,5,12
13,16,4
2,12,16
14,4,17
12,5,1
16,2,7
11,1,5
15,14,9
4,13,3
14,3,5
7,1,8
8,4,1
6,15,16
9,8,13
6,4,13
4,7,2
5,0,3
5,9,16
1,9,12
2,3,11
17,6,13
