word,dim_0,dim_1
design pattern,0.2676705,-0.4251877
heuristic,-0.15327948,-0.42342418
requirement,0.43642092,0.80153984
implication,-0.84015864,-0.24685806
principle,0.4410131,-0.077341564
rule of thumb,0.0046954853,-0.12626019
consideration,-0.42251635,-0.33901834
common practice,0.0770761,-0.113396004
convention,0.15332082,0.0055105044
recommendation,-0.28051332,0.00073822215
best practice,-0.22366247,-0.08555928
standard,0.2433229,0.18371288
norm,0.27204773,0.15551166
guardrail,-0.4103932,0.5552278
paradigm,0.75603235,-0.17256716
style guide,-0.090243556,0.14800048
guideline,-0.2471087,0.07773304
