word,dim_0,dim_1,dim_2
design pattern,-0.7856013,0.6943718,0.4509208
heuristic,-0.05573047,0.836146,-0.933007
requirement,1.4123878,-1.5127447,0.94636476
implication,1.4362267,1.1109977,-1.39846
principle,-0.56600124,-0.45905125,0.71638924
rule of thumb,-0.2935053,0.07749561,-0.34406444
consideration,0.9865326,0.07613149,-1.004892
common practice,-0.510178,-0.21355425,-0.6341727
convention,-0.38181263,-0.49396813,-0.40396515
recommendation,0.4968845,0.6783554,-0.012882994
best practice,0.4855513,0.081244096,-0.24644412
standard,-0.014597939,-0.88208807,-0.03531988
norm,-0.28970557,-1.1284459,-0.16032837
guardrail,1.0198216,0.54103285,1.4496764
paradigm,-1.2092059,-0.82112396,1.0197616
style guide,-0.18346892,0.33860046,0.5567362
guideline,0.428366,0.42707396,0.32412523
