word,dim_0,dim_1,dim_2,dim_3
design pattern,0.425752,1.5417407,-0.43066552,0.4329774
heuristic,0.20138979,0.98776054,-1.2833267,-1.0856189
requirement,-0.5229184,-2.2583249,0.8504848,1.2615843
implication,1.9309961,-1.1567174,-1.1083653,-0.47087738
principle,0.502945,-0.012049111,0.68948215,0.36025387
rule of thumb,-0.19495422,0.56894284,-0.116451144,-0.5753907
consideration,0.31609213,-0.7099521,-0.762472,-1.0943298
common practice,-0.57233804,0.85932153,0.5429806,-0.7892017
convention,-0.7291396,0.73799586,0.6746233,-0.40036297
recommendation,-0.23527297,0.28857976,-1.1996211,0.14014995
best practice,-0.60748816,0.02012274,-0.7290568,-0.35635442
standard,-0.9769407,0.19920023,0.86169523,0.2559711
norm,-0.7226205,-0.09743542,1.167693,-0.16951422
guardrail,-1.2086186,-0.14177717,-1.1430811,1.7000564
paradigm,1.3735408,-0.03150919,1.1481802,0.54210764
style guide,0.018314946,0.78154194,-0.21850528,0.8816998
guideline,0.07586923,0.18234488,-0.82742226,0.35081783
