word,dim_0,dim_1,dim_2,dim_3,dim_4
design pattern,-1.1290666,-0.526812,-0.33187592,0.28246704,0.5174268
heuristic,-0.9709571,-0.24516976,0.67975277,-1.2670348,-0.2884524
requirement,0.9948493,1.4134538,-1.1735319,1.2778465,-1.0766234
implication,-1.2390108,0.9547292,1.0498383,0.16350883,-1.6287525
principle,-0.036374807,0.59348255,-0.32542115,0.32918617,0.7858468
rule of thumb,-0.09810207,-0.11389446,0.17141421,-0.7953716,0.5590006
consideration,-0.014050047,1.0860363,0.91899073,-0.60644424,-0.7163387
common practice,-0.029603869,-0.2737687,-0.6754425,-1.0363872,0.37469345
convention,0.22463094,-0.28155187,-0.75471604,-0.58056283,0.5458834
recommendation,-0.04106481,-0.7107779,0.78447115,0.06014808,-0.53336436
best practice,0.517653,-0.25165305,0.70157146,-0.37481502,-0.15994667
standard,0.8360065,-0.113762684,-0.8946114,-0.116013564,0.5837421
norm,0.7435427,0.2729478,-1.2064776,-0.32274714,0.089497104
guardrail,1.1656965,-1.607011,0.7862609,1.4145383,-0.42062724
paradigm,-0.3563565,1.3689529,-0.12901506,1.0546353,1.2846826
style guide,-0.276978,-0.7298197,0.061500423,0.51442957,0.28000683
guideline,-0.09344519,-0.3895075,0.3383256,0.33756706,-0.46716848
