pf_calls,num_answers,model_updates,num_grad_comps,answers_bytes,last_score,batch_size,k,elapsed_time,train_data,n,d,max_epochs,verbose,ident,_epochs,score_train,loss_train,score_test,loss_test,_elapsed_time,seed,run_id,dim
1,1920,15,1920,23520,0.47708332538604736,128,0,0.02413201332092285,1920,17,5,500000,1000,,1.0,0.5390625,0.6931471228599548,0.4958333373069763,0.6931472420692444,0,968561668,3,5
1001,1920,15015,1921920,23520,0.4958333373069763,128,1000,0.028053998947143555,1920,17,5,500000,1000,,1001.0,0.6760416626930237,0.6114555597305298,0.637499988079071,0.6163425445556641,3,968561668,3,5
2001,1920,30015,3841920,23520,0.637499988079071,128,2000,0.03181171417236328,1920,17,5,500000,1000,,2001.0,0.6848958134651184,0.5997439026832581,0.6499999761581421,0.6047204732894897,7,968561668,3,5
3001,1920,45015,5761920,23520,0.6499999761581421,128,3000,0.0356595516204834,1920,17,5,500000,1000,,3001.0,0.6848958134651184,0.5961340665817261,0.6604166626930237,0.6010055541992188,11,968561668,3,5
4001,1920,60015,7681920,23520,0.6604166626930237,128,4000,0.03974461555480957,1920,17,5,500000,1000,,4001.0,0.684374988079071,0.594322919845581,0.65625,0.5994796752929688,15,968561668,3,5
5001,1920,75015,9601920,23520,0.65625,128,5000,0.04363751411437988,1920,17,5,500000,1000,,5001.0,0.6854166388511658,0.5932321548461914,0.6625000238418579,0.598613977432251,19,968561668,3,5
6001,1920,90015,11521920,23520,0.6625000238418579,128,6000,0.04759836196899414,1920,17,5,500000,1000,,6001.0,0.6854166388511658,0.5924484729766846,0.6645833253860474,0.5978490710258484,23,968561668,3,5
7001,1920,105015,13441920,23520,0.6645833253860474,128,7000,0.05133819580078125,1920,17,5,500000,1000,,7001.0,0.6848958134651184,0.591858983039856,0.6645833253860474,0.5972065329551697,26,968561668,3,5
8001,1920,120015,15361920,23520,0.6645833253860474,128,8000,0.05511903762817383,1920,17,5,500000,1000,,8001.0,0.6854166388511658,0.591368556022644,0.6645833253860474,0.5969806909561157,30,968561668,3,5
9001,1920,135015,17281920,23520,0.6645833253860474,128,9000,0.05889081954956055,1920,17,5,500000,1000,,9001.0,0.6848958134651184,0.5909639000892639,0.6583333611488342,0.5967919230461121,34,968561668,3,5
10001,1920,150015,19201920,23520,0.6583333611488342,128,10000,0.06292080879211426,1920,17,5,500000,1000,,10001.0,0.6880208253860474,0.5906208157539368,0.6604166626930237,0.5964425206184387,38,968561668,3,5
11001,1920,165015,21121920,23520,0.6604166626930237,128,11000,0.06671571731567383,1920,17,5,500000,1000,,11001.0,0.6848958134651184,0.5903273224830627,0.6604166626930237,0.596167802810669,42,968561668,3,5
12001,1920,180015,23041920,23520,0.6604166626930237,128,12000,0.07047677040100098,1920,17,5,500000,1000,,12001.0,0.6869791746139526,0.590075671672821,0.668749988079071,0.5965940952301025,46,968561668,3,5
13001,1920,195015,24961920,23520,0.668749988079071,128,13000,0.0744779109954834,1920,17,5,500000,1000,,13001.0,0.6864583492279053,0.5898627042770386,0.6666666865348816,0.59641033411026,50,968561668,3,5
14001,1920,210015,26881920,23520,0.6666666865348816,128,14000,0.07833313941955566,1920,17,5,500000,1000,,14001.0,0.6859375238418579,0.589675784111023,0.6708333492279053,0.5964584946632385,54,968561668,3,5
15001,1920,225015,28801920,23520,0.6708333492279053,128,15000,0.08208417892456055,1920,17,5,500000,1000,,15001.0,0.6859375238418579,0.5895116329193115,0.6729166507720947,0.596204936504364,58,968561668,3,5
16001,1920,240015,30721920,23520,0.6729166507720947,128,16000,0.08604836463928223,1920,17,5,500000,1000,,16001.0,0.6848958134651184,0.5893615484237671,0.6729166507720947,0.5962598919868469,62,968561668,3,5
17001,1920,255015,32641920,23520,0.6729166507720947,128,17000,0.08982634544372559,1920,17,5,500000,1000,,17001.0,0.6859375238418579,0.5892353057861328,0.6729166507720947,0.5961771607398987,66,968561668,3,5
18001,1920,270015,34561920,23520,0.6729166507720947,128,18000,0.09357237815856934,1920,17,5,500000,1000,,18001.0,0.6864583492279053,0.5891135334968567,0.6729166507720947,0.5960926413536072,69,968561668,3,5
19001,1920,285015,36481920,23520,0.6729166507720947,128,19000,0.09729337692260742,1920,17,5,500000,1000,,19001.0,0.6854166388511658,0.5890054106712341,0.6708333492279053,0.5959428548812866,73,968561668,3,5
20001,1920,300015,38401920,23520,0.6708333492279053,128,20000,0.10116219520568848,1920,17,5,500000,1000,,20001.0,0.6890624761581421,0.5888993144035339,0.668749988079071,0.596309244632721,77,968561668,3,5
21001,1920,315015,40321920,23520,0.668749988079071,128,21000,0.10491514205932617,1920,17,5,500000,1000,,21001.0,0.6869791746139526,0.5888110995292664,0.668749988079071,0.5962910056114197,81,968561668,3,5
22001,1920,330015,42241920,23520,0.668749988079071,128,22000,0.10867118835449219,1920,17,5,500000,1000,,22001.0,0.6854166388511658,0.5887298583984375,0.668749988079071,0.5961930751800537,85,968561668,3,5
23001,1920,345015,44161920,23520,0.668749988079071,128,23000,0.11245441436767578,1920,17,5,500000,1000,,23001.0,0.6859375238418579,0.58864825963974,0.6708333492279053,0.5966296792030334,88,968561668,3,5
24001,1920,360015,46081920,23520,0.6708333492279053,128,24000,0.11622142791748047,1920,17,5,500000,1000,,24001.0,0.6859375238418579,0.5885753631591797,0.668749988079071,0.5961499810218811,92,968561668,3,5
25001,1920,375015,48001920,23520,0.668749988079071,128,25000,0.1199793815612793,1920,17,5,500000,1000,,25001.0,0.6869791746139526,0.5885112285614014,0.668749988079071,0.5962061285972595,96,968561668,3,5
26001,1920,390015,49921920,23520,0.668749988079071,128,26000,0.12372851371765137,1920,17,5,500000,1000,,26001.0,0.6880208253860474,0.5884483456611633,0.6708333492279053,0.5963214635848999,100,968561668,3,5
27001,1920,405015,51841920,23520,0.6708333492279053,128,27000,0.12747931480407715,1920,17,5,500000,1000,,27001.0,0.6869791746139526,0.5883868932723999,0.6708333492279053,0.5960264801979065,104,968561668,3,5
28001,1920,420015,53761920,23520,0.6708333492279053,128,28000,0.1312112808227539,1920,17,5,500000,1000,,28001.0,0.6890624761581421,0.5883375406265259,0.668749988079071,0.5958535671234131,108,968561668,3,5
29001,1920,435015,55681920,23520,0.668749988079071,128,29000,0.1349494457244873,1920,17,5,500000,1000,,29001.0,0.6875,0.5882885456085205,0.6708333492279053,0.5960738658905029,111,968561668,3,5
