word,dim_0,dim_1,dim_2
design pattern,-2.0523722,0.8771088,1.621316
heuristic,0.24707244,0.9694497,1.3507975
requirement,2.031661,-0.86472285,-0.9864373
implication,2.814177,-2.202515,0.4051765
principle,2.0345445,-0.40980852,-1.2871822
rule of thumb,0.05030946,0.7287378,1.2605317
consideration,0.5678696,-2.968995,0.8658876
common practice,-0.94033694,-0.086032994,0.15654162
convention,-0.52135676,0.2323925,-0.11582987
recommendation,-0.5828864,-0.9764111,0.47381425
best practice,-0.89654773,-0.14896731,0.11579341
standard,-0.15721124,0.92607903,-1.1683968
norm,-0.57356757,0.40366712,-0.45196632
guardrail,1.4112443,1.2549114,-1.7461921
paradigm,-0.677379,1.9753336,-2.5015082
style guide,-1.7187705,0.032741252,1.7437189
guideline,-0.8674342,-0.36952567,0.6581518
