word,dim_0,dim_1
design pattern,0.18645215,0.27716196
heuristic,0.28340706,0.41911364
requirement,-0.36285335,-0.41577736
implication,0.6775123,0.1054884
principle,0.09221052,-0.16633357
rule of thumb,0.096665576,0.16067992
consideration,0.43431628,0.20555136
common practice,0.106033996,0.10146413
convention,0.041943848,0.048327796
recommendation,0.0040782047,0.42048538
best practice,0.004505763,0.26534507
standard,-0.0886501,-0.043355994
norm,-0.08993753,-0.0548001
guardrail,-0.4061926,0.32912606
paradigm,0.29511297,-0.3466732
style guide,-0.01322809,0.28035235
guideline,0.0024584327,0.33114097
