word,dim_0,dim_1
design pattern,0.21447425,-0.050639447
heuristic,0.0039066956,0.42917198
requirement,-0.22702631,-0.70036286
implication,0.53161335,0.49767455
principle,0.047084086,-0.22341214
rule of thumb,-0.070198506,0.11210388
consideration,0.41050336,0.26677033
common practice,-0.15112814,0.049019437
convention,-0.14791325,-0.02582057
recommendation,0.08542402,0.2218362
best practice,0.021687936,0.18359028
standard,-0.22370327,-0.15029962
norm,-0.21454142,-0.15722473
guardrail,-0.5188979,0.29574722
paradigm,0.31325087,-0.3595772
style guide,0.11928513,0.026606506
guideline,0.095769644,0.16579014
